Provinsi,Tahun,IPM,TPT,Kemiskinan
ACEH,2022,72.8,6.07,14.64
SUMATERA UTARA,2022,72.71,5.815,8.42
SUMATERA BARAT,2022,73.26,6.225,5.92
RIAU,2022,73.52,4.385,6.78
JAMBI,2022,72.14,4.645,7.62
SUMATERA SELATAN,2022,70.9,4.6850000000000005,11.9
BENGKULU,2022,72.16,3.49,14.62
LAMPUNG,2022,70.45,4.414999999999999,11.57
DKI JAKARTA,2022,81.65,7.59,4.69
JAWA BARAT,2022,73.12,8.33,8.06
JAWA TENGAH,2022,72.79,5.66,10.93
DI YOGYAKARTA,2022,80.64,3.895,11.34
JAWA TIMUR,2022,72.75,5.15,10.38
BANTEN,2022,73.32,8.309999999999999,6.16
BALI,2022,76.44,4.82,4.57
NUSA TENGGARA BARAT,2022,69.46,3.405,13.68
NUSA TENGGARA TIMUR,2022,65.9,3.42,20.05
KALIMANTAN BARAT,2022,68.63,4.985,6.73
KALIMANTAN TENGAH,2022,71.63,4.23,5.28
KALIMANTAN SELATAN,2022,71.84,4.470000000000001,4.49
KALIMANTAN TIMUR,2022,77.44,6.24,6.31
KALIMANTAN UTARA,2022,71.83,4.475,6.77
SULAWESI UTARA,2022,73.81,6.5600000000000005,7.28
SULAWESI TENGAH,2022,70.28,3.335,12.33
SULAWESI SELATAN,2022,72.82,5.13,8.63
SULAWESI TENGGARA,2022,72.23,3.61,11.17
GORONTALO,2022,69.81,2.915,15.42
SULAWESI BARAT,2022,66.92,2.725,11.75
MALUKU,2022,70.22,6.66,15.97
MALUKU UTARA,2022,69.47,4.48,6.23
PAPUA BARAT,2022,65.16,5.575,21.33
PAPUA,2022,71.76,3.215,26.56
ACEH,2023,73.4,5.890000000000001,14.45
SUMATERA UTARA,2023,73.37,5.565,8.15
SUMATERA BARAT,2023,73.75,5.92,5.95
RIAU,2023,74.04,4.24,6.68
JAMBI,2023,72.77,4.515000000000001,7.58
SUMATERA SELATAN,2023,71.62,4.32,11.78
BENGKULU,2023,72.78,3.315,14.04
LAMPUNG,2023,71.15,4.205,11.11
DKI JAKARTA,2023,82.46,7.050000000000001,4.44
JAWA BARAT,2023,73.74,7.665,7.62
JAWA TENGAH,2023,73.39,5.1850000000000005,10.77
DI YOGYAKARTA,2023,81.07,3.635,11.04
JAWA TIMUR,2023,73.38,4.605,10.35
BANTEN,2023,73.87,7.744999999999999,6.17
BALI,2023,77.1,3.21,4.25
NUSA TENGGARA BARAT,2023,70.2,3.265,13.85
NUSA TENGGARA TIMUR,2023,66.68,3.12,19.96
KALIMANTAN BARAT,2023,69.41,4.785,6.71
KALIMANTAN TENGAH,2023,72.2,3.97,5.11
KALIMANTAN SELATAN,2023,72.5,4.13,4.29
KALIMANTAN TIMUR,2023,78.2,5.84,6.11
KALIMANTAN UTARA,2023,72.49,4.055,6.45
SULAWESI UTARA,2023,74.36,6.145,7.38
SULAWESI TENGAH,2023,70.95,3.22,12.41
SULAWESI SELATAN,2023,73.46,4.795,8.7
SULAWESI TENGGARA,2023,72.79,3.405,11.43
GORONTALO,2023,70.45,3.065,15.15
SULAWESI BARAT,2023,67.55,2.655,11.49
MALUKU,2023,70.94,6.195,16.42
MALUKU UTARA,2023,70.21,4.455,6.46
PAPUA BARAT,2023,66.16,5.455,20.49
PAPUA,2023,72.41,3.08,26.03
ACEH,2024,74.03,5.654999999999999,14.23
SUMATERA UTARA,2024,74.02,5.35,7.99
SUMATERA BARAT,2024,74.49,5.77,5.97
RIAU,2024,74.79,3.775,6.67
JAMBI,2024,73.43,4.465,7.1
SUMATERA SELATAN,2024,72.3,3.915,10.97
BENGKULU,2024,73.39,3.14,13.56
LAMPUNG,2024,71.81,4.155,10.69
DKI JAKARTA,2024,83.08,6.12,4.3
JAWA BARAT,2024,74.43,6.83,7.46
JAWA TENGAH,2024,73.88,4.585,10.47
DI YOGYAKARTA,2024,81.55,3.3600000000000003,10.83
JAWA TIMUR,2024,74.09,3.965,9.79
BANTEN,2024,74.48,6.85,5.84
BALI,2024,77.76,1.83,4.0
NUSA TENGGARA BARAT,2024,70.93,3.015,12.91
NUSA TENGGARA TIMUR,2024,67.39,3.095,19.48
KALIMANTAN BARAT,2024,70.13,4.53,6.32
KALIMANTAN TENGAH,2024,72.73,3.84,5.17
KALIMANTAN SELATAN,2024,73.03,4.045,4.11
KALIMANTAN TIMUR,2024,78.83,5.445,5.78
KALIMANTAN UTARA,2024,73.02,3.955,6.32
SULAWESI UTARA,2024,75.03,5.915,7.25
SULAWESI TENGAH,2024,71.56,3.045,11.77
SULAWESI SELATAN,2024,74.05,4.545,8.06
SULAWESI TENGGARA,2024,73.48,3.155,11.21
GORONTALO,2024,71.23,3.09,14.57
SULAWESI BARAT,2024,68.2,2.85,11.21
MALUKU,2024,71.57,6.035,16.05
MALUKU UTARA,2024,71.03,4.095000000000001,6.32
PAPUA BARAT,2024,67.02,4.22,21.66
PAPUA,2024,73.0,6.145,17.26
